osm_id,name,name:en,int_name,old_name,old_name:en,number,street,postal_code,city,country,country_code,lat,lon,website,phone,fax,tags,description,date_added,wikidata
237015622,,,,,,,,75005,Paris,France,fr,48.8424522,2.355704,,,,osm:museum,,2011-02-10T19:22:17Z,
237015623,,,,,,,,75005,Paris,France,fr,48.8424379,2.3556143,,,,osm:museum,,2011-02-10T19:22:15Z,
237015624,,,,,,,,75005,Paris,France,fr,48.8416104,2.3559297,,,,osm:museum,,2011-02-10T19:22:21Z,
237015626,,,,,,,,75005,Paris,France,fr,48.8418596,2.3568694,,,,osm:museum,,2011-01-29T02:37:18Z,
237015628,,,,,,,,75005,Paris,France,fr,48.8426173,2.3564213,,,,osm:museum,,2011-01-29T02:37:27Z,
237015631,,,,,,,,75005,Paris,France,fr,48.8425664,2.3561702,,,,osm:museum,,2011-01-29T02:37:39Z,
237016931,,,,,,,,75005,Paris,France,fr,48.8420353,2.3589332,,,,osm:museum,,2016-08-19T10:31:55Z,
237016932,,,,,,,,75005,Paris,France,fr,48.8421679,2.3588545,,,,osm:museum,,2016-08-19T10:31:56Z,
237018217,,,,,,,,75005,Paris,France,fr,48.8430694,2.3621494,,,,osm:museum,,2010-04-26T12:11:07Z,
237018219,,,,,,,,75005,Paris,France,fr,48.8428676,2.3622691,,,,osm:museum,,2010-04-26T12:11:23Z,
237018220,,,,,,,,75005,Paris,France,fr,48.8431966,2.3636137,,,,osm:museum,,2010-04-26T12:11:13Z,
237018222,,,,,,,,75005,Paris,France,fr,48.8434273,2.363477,,,,osm:museum,,2010-04-26T12:10:19Z,
237018223,,,,,,,,75005,Paris,France,fr,48.8433829,2.3633036,,,,osm:museum,,2010-04-26T12:10:45Z,
237018224,,,,,,,,75005,Paris,France,fr,48.8433345,2.3633318,,,,osm:museum,,2010-04-26T12:10:35Z,
237018225,,,,,,,,75005,Paris,France,fr,48.8430788,2.3623362,,,,osm:museum,,2010-04-26T12:11:00Z,
237018226,,,,,,,,75005,Paris,France,fr,48.8431122,2.3623159,,,,osm:museum,,2010-04-26T12:10:49Z,
239813123,Musée Alsacien,,,,,,,67065,Strasbourg,France,fr,48.5791319,7.7506043,,,,,,2020-07-18T15:24:01Z,
,,,,,,,,,,,,,,,+33 3 88 52 50 00,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://www.musees.strasbourg.eu/musee-alsacien,,,,,,
,,,,,,,,,,,,,,,,,,,,Q565125
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
239819554,,,,,,,,67065,Strasbourg,France,fr,48.5796966,7.750811,,,,osm:museum,,2019-01-03T21:55:13Z,
239819562,,,,,,,,67065,Strasbourg,France,fr,48.5797666,7.7509649,,,,osm:museum,,2019-01-03T21:55:13Z,
239819572,,,,,,,,67065,Strasbourg,France,fr,48.5798985,7.7508279,,,,osm:museum,,2019-01-03T21:55:13Z,
239819581,,,,,,,,67065,Strasbourg,France,fr,48.5800087,7.7510701,,,,osm:museum,,2019-01-03T21:55:13Z,
239819594,,,,,,,,67065,Strasbourg,France,fr,48.5798929,7.7512439,,,,osm:museum,,2019-01-03T21:55:13Z,
239819609,,,,,,,,67065,Strasbourg,France,fr,48.579962,7.7513953,,,,osm:museum,,2019-01-03T21:55:13Z,
239819621,,,,,,,,67065,Strasbourg,France,fr,48.5801956,7.7511505,,,,osm:museum,,2019-01-03T21:55:13Z,
239819634,,,,,,,,67065,Strasbourg,France,fr,48.57993,7.7505685,,,,osm:museum,,2019-01-03T21:55:13Z,
239825772,Musée archéologique,,,,,,,67065,Strasbourg,France,fr,48.5808521,7.7525857,,,,,,2020-07-18T15:49:22Z,
,,,,,,,,,,,,,,,+33 3 68 98 50 00,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://www.musees.strasbourg.eu/musee-archeologique,,,,,,
,,,,,,,,,,,,,,,,,,,,Q782003
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
239825781,Musée des arts décoratifs,,,,,,,67065,Strasbourg,France,fr,48.5807532,7.7523558,,,,,,2020-01-13T23:28:05Z,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q1955722
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
239830896,Musée des Beaux-Arts,,,,,,,67065,Strasbourg,France,fr,48.5806606,7.7521404,,,,,,2017-09-25T00:33:34Z,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q1535963
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
243668634,,,,,,,,31000,Toulouse,France,fr,43.6005597,1.4457706,,,,osm:museum,,2011-05-27T23:44:39Z,
243668635,,,,,,,,31000,Toulouse,France,fr,43.6014181,1.4457665,,,,osm:museum,,2011-08-30T19:26:30Z,
243668636,,,,,,,,31000,Toulouse,France,fr,43.6014923,1.4468605,,,,osm:museum,,2011-05-27T23:45:03Z,
243668637,,,,,,,,31000,Toulouse,France,fr,43.600633,1.4468789,,,,osm:museum,,2011-05-27T23:43:48Z,
244953708,Musée d'art moderne,,,,,,,42270,Saint-Priest-en-Jarez,France,fr,45.4694622,4.3742124,,,,,,2020-03-19T09:52:40Z,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://mamc.saint-etienne.fr/fr,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q3329646
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
245805297,,,,,,,,75005,Paris,France,fr,48.8488657,2.35775,,,,osm:museum,,2010-04-16T09:10:15Z,
245805298,,,,,,,,75005,Paris,France,fr,48.8490009,2.357542,,,,,,2020-11-05T02:59:57Z,
,,,,,,,,,,,,,,,,,osm:museum,,,
245805299,,,,,,,,75005,Paris,France,fr,48.8491279,2.3572659,,,,osm:museum,,2011-01-31T22:14:29Z,
245805300,,,,,,,,75005,Paris,France,fr,48.849172,2.3569494,,,,osm:museum,,2011-01-31T22:10:48Z,
246490745,,,,,,,,31300,Toulouse,France,fr,43.6006609,1.4293443,,,,osm:museum,,2017-04-03T10:47:20Z,
246490746,,,,,,,,31300,Toulouse,France,fr,43.6009269,1.4300354,,,,osm:museum,,2017-04-03T10:47:20Z,
246490749,,,,,,,,31300,Toulouse,France,fr,43.6011744,1.4298537,,,,osm:museum,,2017-04-03T10:47:20Z,
246490750,,,,,,,,31300,Toulouse,France,fr,43.6009084,1.4291626,,,,osm:museum,,2017-04-03T10:47:20Z,
246781225,Musée de la Libération,,,,,,,50100,Cherbourg-en-Cotentin,France,fr,49.6305842,-1.6137421,,,,,,2020-05-09T17:06:45Z,
,,,,,,,,,,,,,,,+33 2 33 20 14 12,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://www.cherbourg.fr/infos-services/culture-et-loisirs/musees/musee-de-la-liberation-321.html,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
247081244,,,,,,,,31000,Toulouse,France,fr,43.6023148,1.4431296,,,,,,2020-05-24T21:05:49Z,
,Musée du Vieux-Toulouse,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://www.toulouse-tourisme.com/musee-du-vieux-toulouse/toulouse/pcumid031fs0006a,,,,,,
,,,,,,,,,,,,,,,,,,,,Q3330403
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
247280084,,,,,,,,33000,Bordeaux,France,fr,44.8690176,-0.5586019,,,,osm:museum,,2019-06-07T09:02:17Z,
247280085,,,,,,,,33000,Bordeaux,France,fr,44.8691056,-0.5584863,,,,osm:museum,,2019-06-07T09:02:17Z,
247280086,,,,,,,,33000,Bordeaux,France,fr,44.8688161,-0.5580558,,,,osm:museum,,2019-06-07T09:02:17Z,
247360593,,,,,,,,29860,Plouvien,France,fr,48.5309705,-4.4513435,,,,osm:museum,,2015-04-08T11:55:41Z,
247584452,,,,,,,,75001,Paris,France,fr,48.8631692,2.3329513,,,,,,2021-01-01T00:01:46Z,
,Musée des Arts Décoratifs - Musée de la Publicité,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,+33 1 44 55 57 50,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://www.lesartsdecoratifs.fr/fr/01museeartsdeco/index.html,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q1319378
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
247618453,,,,,,,,75003,Paris,France,fr,48.8660977,2.3554138,,,,,,2019-10-25T21:46:04Z,
,,,,,,,,,,,,,,,,,,,,
,Musée des Arts et Métiers,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,+33 1 53 01 82 20,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Museum of Arts et Métiers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://www.arts-et-metiers.net,,,,,,
,,,,,,,,,,,,,,,,,,,,Q1538826
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
247651734,,,,,,,,31400,Toulouse,France,fr,43.5933887,1.4488594,,,,osm:museum,,2011-10-19T21:53:57Z,
247651735,,,,,,,,31400,Toulouse,France,fr,43.5925922,1.4488858,,,,osm:museum,,2011-10-19T21:53:57Z,
247651740,,,,,,,,31400,Toulouse,France,fr,43.5938441,1.4496633,,,,osm:museum,,2011-10-19T21:53:58Z,
249066761,Centre d'art contemporain du Fort du Bruissin,,,,,,,69340,Francheville,France,fr,45.7305319,4.7385345,,,,,,2012-06-11T04:34:56Z,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
250657151,Tour de Jean-sans-Peur,,,,,,,75002,Paris,France,fr,48.8643016,2.3480523,,,,,,2018-02-21T18:45:24Z,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://www.tourjeansanspeur.com/,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q3533101
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
251318666,Musée national Gustave Moreau,,,,,,,75009,Paris,France,fr,48.8779237,2.3345515,,,,,,2019-10-25T21:46:04Z,
,,,,,,,,,,,,,,,+33 1 48 74 38 50,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://www.musee-moreau.fr,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q2296362
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
251742041,,,,,,,,75007,Paris,France,fr,48.8626245,2.3025393,,,,,,2020-02-15T15:16:18Z,
,,,,,,,,,,,,,,,,,,,,
,Visite des Égouts de Paris,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,+33153682781,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://equipement.paris.fr/musee-des-egouts-5059,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q2654419
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"La visite présente les entrailles de Paris de l'Antiquité à Belgrand, ingénieur du XIXe siècle, qui a conçu le réseau d'égouts actuel. Dans les galeries souterraines, sont évoqués le cycle de l'eau et le travail des égoutiers de Paris.",,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
251851363,Musée Grévin,,,,,,,75009,Paris,France,fr,48.8718365,2.3420974,,,,,,2019-03-08T06:57:14Z,
,,,,,,,,,,,,,,,+33 1 47 70 85 05,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://www.grevin.com/,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q1265070
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
