id,osm_id,name,city,country,country_code,status,year,stats,tags
2923202,,Musée Départemental Breton,QUIMPER,France,fr,open,2002,payant:24655;gratuit:20823;total:45478,;label:musee de france
3536002,,Musée du Château de Vitré,VITRE,France,fr,open,2002,payant:25848;gratuit:5541;total:31389,;label:musee de france
5602301,,Ecomusée de Saint-Dégan,BREC'H,France,fr,open,2002,payant:9317;gratuit:220;total:9537,;label:musee de france
5626003,,"La Cohue, Musée des Beaux-Arts de vannes",VANNES,France,fr,open,2002,payant:16973;gratuit:9858;total:26831,;label:musee de france
1814101,,Musée du Château Charles VII,MEHUN-SUR-YEVRE,France,fr,open,2002,payant:9600;gratuit:0;total:9600,;label:musee de france
2808801,,Musée des Beaux-Arts et d'Histoire Naturelle,CHATEAUDUN,France,fr,open,2002,payant:6444;gratuit:8115;total:14559,;label:musee de france
2813401,,Musée d'Art et d'Histoire de Dreux,DREUX,France,fr,open,2002,payant:5236;gratuit:0;total:5236,;label:musee de france
3600601,,Musée de la Chemiserie et de l'Elégance Masculine,ARGENTON-SUR-CREUSE,France,fr,open,2002,payant:9136;gratuit:0;total:9136,;label:musee de france
3700301,,Musée de l'Hôtel des Communes,AMBOISE,France,fr,open,2002,payant:0;gratuit:3108;total:3108,;label:musee de france
3711301,,Musée de Préhistoire du Grand Pressigny,LE GRAND PRESSIGNY,France,fr,open,2002,payant:11342;gratuit:5217;total:16559;mdf-date:30/04/2002,;label:musee de france
3713201,,Musée Lansyer,LOCHES,France,fr,open,2002,payant:2101;gratuit:0;total:2101,;label:musee de france
3724201,,Ecomusée du Véron,SAVIGNY-EN-VERON,France,fr,open,2002,payant:10310;gratuit:19088;total:29398;mdf-date:18/07/2002,;label:musee de france
3724801,,Musée François Rabelais,SEUILLY,France,fr,open,2002,payant:13963;gratuit:0;total:13963;mdf-date:30/04/2002,;label:musee de france
4101805,,Muséum d'Histoire Naturelle,BLOIS,France,fr,open,2002,payant:5405;gratuit:8106;total:13511,;label:musee de france
4115801,,Atelier Musée Louis Leygue,NAVEIL,France,fr,open,2002,payant:22;gratuit:0;total:22,;label:musee de france
4119401,,Musée de Sologne,ROMORANTIN-LANTHENAY,France,fr,open,2002,payant:5769;gratuit:5472;total:11241,;label:musee de france
4508201,,Musée de la Marine de Loire,CHATEAUNEUF-SUR-LOIRE,France,fr,open,2002,payant:10297;gratuit:4791;total:15088,;label:musee de france
4515501,,Château-Musée de Gien,GIEN,France,fr,open,2002,payant:22108;gratuit:4374;total:26482,;label:musee de france
0810503,,Musée de l'Ardenne,CHARLEVILLE-MEZIERES,France,fr,open,2002,payant:27700;gratuit:0;total:27700,;label:musee de france
1026101,,Musée de la Résistance,MUSSY-SUR-SEINE,France,fr,open,2002,payant:50;gratuit:64;total:114,;label:musee de france
1026801,,Musée Paul Dubois - Alfred Boucher,NOGENT-SUR-SEINE,France,fr,open,2002,payant:0;gratuit:5406;total:5406,;label:musee de france
1038706,,Musée d'Art Moderne,TROYES,France,fr,open,2002,payant:15343;gratuit:13570;total:28913,;label:musee de france
5110803,,Musée Garinet,CHALONS-EN-CHAMPAGNE,France,fr,open,2002,payant:1009;gratuit:0;total:1009,;label:musee de france
5123001,,Musée Municipal d'Epernay,EPERNAY,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
2505604,,Musée Comtois,BESANCON,France,fr,open,2002,payant:73068;gratuit:0;total:73068,;label:musee de france
2505605,,Musée de la résistance et de la Déportation,BESANCON,France,fr,open,2002,payant:78888;gratuit:0;total:78888,;label:musee de france
2505601,,Musée des Beaux-Arts et d'Archéologie,BESANCON,France,fr,open,2002,payant:15478;gratuit:26482;total:41960;mdf-date:06/01/2002,;label:musee de france
2538802,,Musée du Château des Ducs de Wurtemberg,MONTBELIARD,France,fr,open,2002,payant:12385;gratuit:13814;total:26199,;label:musee de france
2541801,,Musée de Plein Air des Maisons Comtoises,NANCRAY,France,fr,open,2002,payant:45420;gratuit:0;total:45420,;label:musee de france
7012201,,Musée Départemental Albert-et-Félicie Demard - ATP,CHAMPLITTE,France,fr,open,2002,payant:20306;gratuit:0;total:20306,;label:musee de france
3930001,,Musée d'Archéologie,LONS-LE-SAUNIER,France,fr,open,2002,payant:7587;gratuit:5860;total:13447,;label:musee de france
9001001,,Musée d'Art et d'Histoire,BELFORT,France,fr,open,2002,payant:17835;gratuit:0;total:17835,;label:musee de france
9712001,,Musée Municipal Saint-John Perse,POINTE-A-PITRE,France,fr,open,2002,payant:5513;gratuit:0;total:5513;mdf-date:12/12/2002,;label:musee de france
9202601,,Musée Roybet Fould,COURBEVOIE,France,fr,open,2002,payant:0;gratuit:11856;total:11856,;label:musee de france
7510512,,Galerie d’entomologie (Muséum national d'histoire naturelle),PARIS,France,fr,closed,2002,payant:0;gratuit:0;total:;mdf-date:06/01/2002,;label:musee de france
7511609,,Musée de l'Homme (Muséum National d'Histoire Naturelle),PARIS,France,fr,open,2002,payant:93622;gratuit:13774;total:107396;mdf-date:06/01/2002,;label:musee de france
7511605,,Musée des Arts et des Traditions Populaires,PARIS,France,fr,open,2002,payant:14250;gratuit:27313;total:41563;mdf-date:06/01/2002,;label:musee de france
7510405,,Maison de Victor Hugo,PARIS,France,fr,open,2002,payant:38178;gratuit:86452;total:124630,;label:musee de france
7511618,,Musée National de la Marine,PARIS,France,fr,open,2002,payant:305904;gratuit:0;total:305904;mdf-date:06/01/2002,;label:musee de france
7510307,,Musée Carnavalet-Histoire de Paris,PARIS,France,fr,open,2002,payant:48250;gratuit:441798;total:490048,;label:musee de france
7510905,,Musée de la Vie Romantique,PARIS,France,fr,open,2002,payant:27729;gratuit:24401;total:52130,;label:musee de france
7511607,,Musée Bouchard,PARIS,France,fr,open,2002,payant:1361;gratuit:847;total:2208,;label:musee de france
7511801,,Musée de Montmartre,PARIS,France,fr,open,2002,payant:40656;gratuit:0;total:40656,;label:musee de france
7510608,,Musée Zadkine,PARIS,France,fr,open,2002,payant:7488;gratuit:13880;total:21368,;label:musee de france
7511603,,Musée des Arts Asiatiques Guimet,PARIS,France,fr,open,2002,payant:229970;gratuit:109770;total:339740;mdf-date:06/01/2002,;label:musee de france
7511617,,Palais Galliera - Musée de la Mode de la ville de Paris,PARIS,France,fr,open,2002,payant:46670;gratuit:21715;total:68385,;label:musee de france
7510801,,Musée Nissim de Camondo (Union Centrale des Arts Décoratifs),PARIS,France,fr,open,2002,payant:35455;gratuit:6425;total:41880;mdf-date:06/01/2002,;label:musee de france
7510703,,Musée National Auguste Rodin,PARIS,France,fr,open,2002,payant:329577;gratuit:229359;total:558936;mdf-date:06/01/2002,;label:musee de france
7510705,,Musée National d'Orsay,PARIS,France,fr,open,2002,payant:1422863;gratuit:704916;total:2127779;mdf-date:06/01/2002,;label:musee de france
7511504,,Musée de la Poste,PARIS,France,fr,open,2002,payant:38553;gratuit:0;total:38553;mdf-date:06/01/2002,;label:musee de france
9550001,,Musée Tavet Delacour,PONTOISE,France,fr,open,2002,payant:2677;gratuit:2662;total:5339,;label:musee de france
7817201,,Musée de la Batellerie et des Voies Navigables,CONFLANS-SAINTE-HONORINE,France,fr,open,2002,payant:15144;gratuit:2578;total:17722,;label:musee de france
7842001,,Musée-Maison Maurice Ravel,MONTFORT-L'AMAURY,France,fr,closed,2002,payant:0;gratuit:0;total:,;label:musee de france
7849801,,Musée du Jouet Pierre Pinel,POISSY,France,fr,open,2002,payant:20096;gratuit:3453;total:23549,;label:musee de france
7851702,,Musée Rambolitrain,RAMBOUILLET,France,fr,open,2002,payant:17885;gratuit:0;total:17885,;label:musee de france
7857501,,Collections de la Fondation de Coubertin,SAINT-REMY-LES-CHEVREUSE,France,fr,open,2002,payant:6421;gratuit:0;total:6421,;label:musee de france
7864601,,Musée Lambinet,VERSAILLES,France,fr,open,2002,payant:5998;gratuit:6396;total:12394,;label:musee de france
3018904,,Musée du Vieux Nîmes,NIMES,France,fr,open,2002,payant:0;gratuit:11065;total:11065,;label:musee de france
3018907,,Musée des Cultures Taurines (Annexe Musée du Vieux Nîmes),NIMES,France,fr,open,2002,payant:977;gratuit:13513;total:14490,;label:musee de france
3018903,,Musée Archéologique,NIMES,France,fr,open,2002,payant:9641;gratuit:15630;total:25271,;label:musee de france
3018906,,Carré d'Art Musée d'Art Contemporain de Nîmes,NIMES,France,fr,open,2002,payant:19236;gratuit:17445;total:36681,;label:musee de france
