id,osm_id,name,city,country,country_code,status,year,stats,tags
7647401,,Musée Industriel de la Corderie Vallois,NOTRE-DAME-DE-BONDEVILLE,France,fr,open,2007,payant:2506;gratuit:6989;total:9495;mdf-date:01/02/2003,label:musee de france
7674201,,Musée Victor Hugo,VILLEQUIER,France,fr,open,2007,payant:4998;gratuit:7923;total:12921;mdf-date:01/02/2003,label:musee de france
4417501,,Musée du Chaume/Kerhinet - Pard Naturel Régional de Brière,SAINT-LYPHARD,France,fr,open,2007,payant:0;gratuit:35772;total:35772;mdf-date:01/02/2003,label:musee de france
4900701,,Musée des Beaux-Arts,ANGERS,France,fr,open,2007,payant:27336;gratuit:45369;total:72705;mdf-date:06/01/2002,label:musee de france
4901801,,Musée d'Art et d'Histoire,BAUGE,France,fr,open,2007,payant:3610;gratuit:2075;total:5685;mdf-date:01/02/2003,label:musee de france
4929201,,Musée de la Vigne et du Vin d'Anjou,SAINT LAMBERT-DU-LATTAY - VAL-DU-LAYON,France,fr,open,2007,payant:4976;gratuit:1380;total:6356;mdf-date:17/06/2002,label:musee de france
4932802,,Château-Musée,SAUMUR,France,fr,open,2007,payant:22829;gratuit:9048;total:31877;mdf-date:01/02/2003,label:musee de france
5313001,,Musée du Vieux Château,LAVAL,France,fr,open,2007,payant:11102;gratuit:17033;total:28135;mdf-date:01/02/2003,label:musee de france
7207101,,Musée Heurteloup-Chevalier,CHATEAU-DU-LOIR,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
7226901,,Bibliothèque-musée,SAINT-CALAIS,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
8508701,,Centre Minier de Faymoreau,FAYMOREAU,France,fr,open,2007,payant:23465;gratuit:6662;total:30127;mdf-date:01/02/2003,label:musee de france
8509201,,Musée Vendéen,FONTENAY-LE-COMTE,France,fr,open,2007,payant:2043;gratuit:3395;total:5438;mdf-date:14/12/2002,label:musee de france
8519101,,Musée Municipal,LA ROCHE-SUR-YON,France,fr,open,2007,payant:0;gratuit:8395;total:8395;mdf-date:01/02/2003,label:musee de france
0217301,,Musée municipal de Chauny,CHAUNY,France,fr,open,2007,payant:0;gratuit:2800;total:2800;mdf-date:01/02/2003,label:musee de france
